NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
160000430988,2016,Matozinhos,MG,51,F,1.0,1,1,2,1,0,0,0,0,"10    524.982679
Name: NU_NOTA_CN, dtype: float64","10    571.270862
Name: NU_NOTA_CH, dtype: float64","10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",A,A,A,A,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,B,B,B
160000430989,2016,Campinas,SP,17,F,0.0,1,2,0,2,1,1,1,1,491.5,580.2,568.8,426.0,120.0,80.0,80.0,120.0,0.0,400.0,B,B,B,B,6,H,A,C,D,B,A,B,A,B,A,B,A,B,B,B,B,E,B,A,B
160000430990,2016,Belém,PA,16,F,0.0,2,3,0,1,1,1,1,1,438.6,547.3,561.3,484.2,140.0,120.0,120.0,120.0,120.0,620.0,D,G,D,D,4,F,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,D,B,B,B
160000430991,2016,São Paulo,SP,41,M,0.0,3,1,10,1,1,1,1,1,561.7,635.0,621.1,391.1,120.0,120.0,100.0,120.0,20.0,480.0,C,D,C,B,2,E,B,B,B,A,A,B,A,B,B,B,A,A,B,B,A,C,B,A,B
160000434307,2016,Rio de Janeiro,RJ,20,F,0.0,1,1,2,1,1,1,1,1,420.0,572.7,550.1,342.8,120.0,100.0,80.0,120.0,120.0,540.0,E,E,B,B,3,D,A,B,B,A,A,B,B,B,A,A,A,A,C,B,A,D,A,B,B
160000434308,2016,Jataí,GO,18,M,0.0,3,1,1,1,1,1,1,1,429.0,449.4,497.2,438.9,120.0,140.0,140.0,120.0,80.0,600.0,B,E,F,F,4,D,A,B,C,A,B,B,A,B,A,A,A,A,C,B,A,E,A,B,B
160000434309,2016,Belém,PA,20,F,0.0,3,1,1,1,1,1,1,1,420.9,532.0,532.7,482.9,120.0,100.0,100.0,120.0,80.0,520.0,D,C,B,B,5,C,A,B,C,A,A,B,B,A,A,B,A,A,B,A,A,C,A,A,A
160000434310,2016,Capão da Canoa,RS,18,F,0.0,1,1,1,1,1,1,1,1,446.8,515.9,522.8,423.8,120.0,120.0,120.0,120.0,60.0,540.0,D,B,C,C,5,D,A,B,E,A,A,B,A,B,A,B,A,A,B,A,A,E,A,B,A
160000434311,2016,São Paulo,SP,17,F,0.0,1,2,0,3,1,1,1,1,610.2,672.6,641.4,609.8,160.0,160.0,140.0,140.0,120.0,720.0,G,E,D,D,3,M,B,B,C,A,A,B,B,B,A,B,A,B,C,B,B,D,B,B,B
160000434312,2016,Senador Pompeu,CE,22,M,0.0,1,1,5,1,1,1,1,1,587.8,657.3,648.5,541.6,160.0,120.0,120.0,140.0,60.0,600.0,E,B,C,F,3,C,A,B,D,A,A,B,A,A,A,A,A,A,B,B,A,C,A,B,B
160000434313,2016,Curitiba,PR,18,F,0.0,1,2,0,3,1,1,1,1,588.1,601.5,632.2,606.4,140.0,140.0,120.0,140.0,140.0,680.0,E,G,F,E,3,Q,B,E,D,C,B,C,B,B,B,C,B,B,C,B,B,D,B,C,B
160000434314,2016,Uchoa,SP,27,F,0.0,3,1,9,1,1,1,1,1,385.7,582.8,582.1,570.2,140.0,120.0,120.0,120.0,120.0,620.0,E,B,F,F,3,B,A,B,C,B,A,B,A,B,A,B,A,A,B,B,B,D,B,B,B
160000434315,2016,Brasília,DF,25,F,0.0,1,1,7,1,0,0,0,0,"6    511.417708
Name: NU_NOTA_CN, dtype: float64","6    562.828
Name: NU_NOTA_CH, dtype: float64","6    545.066667
Name: NU_NOTA_LC, dtype: float64","6    519.631579
Name: NU_NOTA_MT, dtype: float64","6    127.676768
Name: NU_NOTA_COMP1, dtype: float64","6    114.747475
Name: NU_NOTA_COMP2, dtype: float64","6    112.929293
Name: NU_NOTA_COMP3, dtype: float64","6    123.030303
Name: NU_NOTA_COMP4, dtype: float64","6    81.010101
Name: NU_NOTA_COMP5, dtype: float64","6    559.393939
Name: NU_NOTA_REDACAO, dtype: float64",F,G,E,E,4,Q,D,E,D,E,B,B,B,B,A,B,A,B,C,A,A,E,B,E,B
160000434316,2016,Santana,AP,58,F,0.0,3,1,9,1,1,1,1,1,401.1,414.3,449.6,453.1,80.0,60.0,80.0,40.0,0.0,260.0,A,A,F,F,2,B,A,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,A,A,A
160000434317,2016,Vitória,ES,19,M,0.0,1,1,1,1,1,1,1,1,458.3,519.3,503.1,401.0,120.0,120.0,120.0,120.0,120.0,600.0,H,E,B,B,5,B,A,B,D,A,A,B,B,B,B,A,A,A,B,A,A,B,B,A,A
160000434318,2016,Curitiba,PR,17,F,0.0,1,3,0,1,1,1,1,1,590.3,580.8,574.5,450.8,120.0,120.0,120.0,120.0,80.0,560.0,E,E,B,B,2,C,A,B,C,A,A,B,B,B,A,B,A,B,B,B,A,C,A,B,B
160000434319,2016,Santa Maria,RS,20,M,0.0,1,1,1,1,1,1,1,1,587.9,596.4,602.3,424.8,80.0,120.0,80.0,120.0,40.0,440.0,C,E,F,B,18,H,A,B,D,A,A,B,A,E,A,B,A,A,B,A,A,B,B,B,B
160000434320,2016,Salvador,BA,21,M,0.0,1,1,2,1,1,1,1,1,568.6,609.9,596.2,545.1,140.0,160.0,140.0,120.0,120.0,680.0,E,E,D,D,3,D,A,D,D,B,A,B,A,B,A,B,A,A,B,A,B,D,B,B,B
160000434321,2016,Campinas,SP,26,F,0.0,1,1,8,1,1,1,1,1,448.2,544.1,538.5,455.8,140.0,120.0,120.0,120.0,40.0,540.0,C,C,D,B,3,D,A,C,C,B,A,B,B,B,A,A,A,A,D,B,A,C,A,A,A
160000434322,2016,Cordeiros,BA,40,M,1.0,3,1,10,1,0,0,0,0,"4    497.883571
Name: NU_NOTA_CN, dtype: float64","4    541.560046
Name: NU_NOTA_CH, dtype: float64","4    525.986073
Name: NU_NOTA_LC, dtype: float64","4    509.27381
Name: NU_NOTA_MT, dtype: float64","4    123.561644
Name: NU_NOTA_COMP1, dtype: float64","4    117.716895
Name: NU_NOTA_COMP2, dtype: float64","4    111.278539
Name: NU_NOTA_COMP3, dtype: float64","4    119.908676
Name: NU_NOTA_COMP4, dtype: float64","4    84.383562
Name: NU_NOTA_COMP5, dtype: float64","4    556.849315
Name: NU_NOTA_REDACAO, dtype: float64",B,B,B,F,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,B,B
160000434323,2016,Belo Horizonte,MG,22,M,0.0,3,1,5,1,0,0,0,0,"10    524.982679
Name: NU_NOTA_CN, dtype: float64","10    571.270862
Name: NU_NOTA_CH, dtype: float64","10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",F,E,E,D,6,I,A,E,E,A,A,C,A,B,A,B,A,A,E,B,B,E,B,E,B
160000434324,2016,Salvador,BA,31,F,0.0,2,4,0,1,1,1,1,1,440.0,512.4,546.3,404.7,120.0,180.0,160.0,140.0,140.0,740.0,F,G,E,E,2,C,A,B,B,B,A,B,A,A,A,A,A,B,B,B,B,B,A,A,A
160000434325,2016,Maceió,AL,23,M,0.0,3,1,6,1,0,0,0,0,"1    489.774074
Name: NU_NOTA_CN, dtype: float64","1    540.514286
Name: NU_NOTA_CH, dtype: float64","1    513.432143
Name: NU_NOTA_LC, dtype: float64","1    513.105556
Name: NU_NOTA_MT, dtype: float64","1    124.285714
Name: NU_NOTA_COMP1, dtype: float64","1    127.5
Name: NU_NOTA_COMP2, dtype: float64","1    120.0
Name: NU_NOTA_COMP3, dtype: float64","1    127.857143
Name: NU_NOTA_COMP4, dtype: float64","1    92.5
Name: NU_NOTA_COMP5, dtype: float64","1    592.142857
Name: NU_NOTA_REDACAO, dtype: float64",E,E,C,B,3,D,A,B,C,A,A,B,B,B,B,B,A,A,C,B,A,D,B,B,B
160000434326,2016,Florianópolis,SC,15,F,0.0,1,3,0,1,1,1,0,0,521.9,514.1,"70    585.9
Name: NU_NOTA_LC, dtype: float64","70    508.066667
Name: NU_NOTA_MT, dtype: float64","70    133.333333
Name: NU_NOTA_COMP1, dtype: float64","70    113.333333
Name: NU_NOTA_COMP2, dtype: float64","70    126.666667
Name: NU_NOTA_COMP3, dtype: float64","70    126.666667
Name: NU_NOTA_COMP4, dtype: float64","70    66.666667
Name: NU_NOTA_COMP5, dtype: float64","70    566.666667
Name: NU_NOTA_REDACAO, dtype: float64",G,G,E,E,2,P,B,C,D,B,A,B,B,B,B,B,B,B,D,B,B,C,B,C,B
160000434327,2016,Luziânia,GO,18,M,0.0,2,1,1,1,1,1,1,1,489.0,565.6,521.1,429.0,80.0,140.0,120.0,80.0,80.0,500.0,D,E,A,D,4,C,A,B,D,A,B,B,A,B,A,B,A,A,B,B,A,B,A,B,A
160000434328,2016,São Paulo,SP,20,M,0.0,1,1,3,1,1,1,1,1,524.3,695.2,631.9,631.3,120.0,140.0,160.0,100.0,60.0,580.0,E,E,F,B,4,E,A,B,C,A,A,B,B,B,A,A,A,A,C,B,B,D,B,B,B
160000434329,2016,Luís Eduardo Magalhães,BA,16,M,0.0,1,3,0,1,1,1,1,1,463.1,526.1,525.4,428.8,120.0,80.0,80.0,80.0,80.0,440.0,C,F,B,E,4,I,A,C,C,B,B,B,A,B,A,B,A,B,D,A,B,E,A,C,B
160000434330,2016,Montes Claros,MG,22,M,0.0,3,1,5,1,1,1,0,0,546.1,599.2,"10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",E,G,D,D,4,H,A,B,D,B,B,B,A,B,A,A,A,A,B,B,A,C,A,A,A
160000434331,2016,Canoas,RS,20,M,0.0,1,4,0,1,1,1,1,1,425.8,480.5,545.4,600.6,120.0,120.0,80.0,100.0,40.0,460.0,H,E,F,F,4,C,A,B,C,A,B,B,B,B,A,B,A,B,B,A,A,C,B,B,B
160000434332,2016,Petrolina,PE,32,F,0.0,3,1,7,1,1,1,1,1,434.1,584.6,551.2,483.3,120.0,120.0,120.0,120.0,160.0,640.0,E,B,C,A,5,D,A,C,D,B,A,B,A,B,A,B,A,A,B,A,A,B,B,B,B
160000434333,2016,Curitiba,PR,21,M,1.0,1,1,4,1,0,0,0,0,"17    509.865761
Name: NU_NOTA_CN, dtype: float64","17    560.015026
Name: NU_NOTA_CH, dtype: float64","17    545.013298
Name: NU_NOTA_LC, dtype: float64","17    542.358101
Name: NU_NOTA_MT, dtype: float64","17    126.170213
Name: NU_NOTA_COMP1, dtype: float64","17    115.212766
Name: NU_NOTA_COMP2, dtype: float64","17    110.212766
Name: NU_NOTA_COMP3, dtype: float64","17    120.106383
Name: NU_NOTA_COMP4, dtype: float64","17    79.787234
Name: NU_NOTA_COMP5, dtype: float64","17    551.489362
Name: NU_NOTA_REDACAO, dtype: float64",B,E,C,B,3,G,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,B,A,A,A
160000434334,2016,Recife,PE,24,F,0.0,3,1,4,1,1,1,1,1,419.0,516.7,445.6,418.9,160.0,160.0,160.0,120.0,120.0,720.0,C,D,B,B,3,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
160000434335,2016,Manaus,AM,34,F,0.0,1,1,10,1,1,1,1,1,439.5,593.8,561.4,482.7,160.0,120.0,120.0,140.0,100.0,640.0,C,E,C,B,6,B,B,B,C,A,A,B,A,B,A,B,A,A,B,B,B,D,B,B,B
160000434336,2016,Rio de Janeiro,RJ,32,F,1.0,3,1,10,1,1,1,1,1,479.9,580.0,545.0,405.5,120.0,80.0,80.0,100.0,80.0,460.0,H,E,F,B,4,C,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B,B,B,B,B
160000434337,2016,Novo Hamburgo,RS,18,F,0.0,2,1,1,1,1,1,1,1,419.1,492.5,357.0,522.9,140.0,120.0,120.0,120.0,100.0,600.0,E,E,D,D,3,E,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,B,A,B
160000434338,2016,São Paulo,SP,16,F,0.0,3,3,0,1,1,1,1,1,478.0,508.9,500.3,485.4,120.0,120.0,120.0,120.0,80.0,560.0,D,D,B,C,4,D,A,B,B,A,A,B,B,B,A,B,A,A,C,B,B,C,A,A,B
160000434339,2016,Fortaleza,CE,19,F,0.0,1,1,2,1,1,1,1,1,596.6,653.6,618.1,605.2,140.0,120.0,160.0,120.0,80.0,620.0,F,F,D,D,3,I,A,E,E,B,A,B,A,B,A,A,A,B,D,B,B,E,B,D,B
160000434340,2016,Ribeirão das Neves,MG,20,F,0.0,3,1,2,1,0,0,0,0,"10    524.982679
Name: NU_NOTA_CN, dtype: float64","10    571.270862
Name: NU_NOTA_CH, dtype: float64","10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",C,E,C,B,2,B,A,B,C,A,A,B,A,A,B,B,A,A,B,B,A,C,B,B,B
160000434341,2016,São Paulo,SP,18,F,0.0,1,1,1,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",F,G,E,D,3,J,A,B,D,C,A,B,C,B,A,B,A,A,D,B,B,D,B,B,B
160000434342,2016,Minaçu,GO,19,F,0.0,3,1,2,1,1,1,1,1,435.4,536.8,446.3,381.1,100.0,60.0,80.0,80.0,80.0,400.0,B,E,C,B,2,B,A,C,D,A,B,B,A,B,B,A,A,A,B,B,A,D,A,B,B
160000434343,2016,Recife,PE,27,F,0.0,3,1,9,1,0,0,0,0,"15    498.074908
Name: NU_NOTA_CN, dtype: float64","15    542.900358
Name: NU_NOTA_CH, dtype: float64","15    527.828417
Name: NU_NOTA_LC, dtype: float64","15    526.110741
Name: NU_NOTA_MT, dtype: float64","15    123.81295
Name: NU_NOTA_COMP1, dtype: float64","15    116.258993
Name: NU_NOTA_COMP2, dtype: float64","15    111.510791
Name: NU_NOTA_COMP3, dtype: float64","15    120.935252
Name: NU_NOTA_COMP4, dtype: float64","15    88.489209
Name: NU_NOTA_COMP5, dtype: float64","15    561.007194
Name: NU_NOTA_REDACAO, dtype: float64",E,B,C,B,4,E,A,B,C,D,A,B,A,B,A,B,A,A,B,B,A,E,B,B,B
160000434344,2016,Porto Alegre,RS,18,M,0.0,3,1,1,1,0,0,0,0,"22    509.39797
Name: NU_NOTA_CN, dtype: float64","22    559.591827
Name: NU_NOTA_CH, dtype: float64","22    548.331188
Name: NU_NOTA_LC, dtype: float64","22    550.566492
Name: NU_NOTA_MT, dtype: float64","22    127.128713
Name: NU_NOTA_COMP1, dtype: float64","22    120.891089
Name: NU_NOTA_COMP2, dtype: float64","22    114.851485
Name: NU_NOTA_COMP3, dtype: float64","22    120.29703
Name: NU_NOTA_COMP4, dtype: float64","22    85.841584
Name: NU_NOTA_COMP5, dtype: float64","22    569.009901
Name: NU_NOTA_REDACAO, dtype: float64",H,F,F,D,2,F,A,B,C,A,A,B,A,B,A,B,A,A,B,B,A,B,B,B,B
160000434345,2016,Navegantes,SC,21,F,0.0,1,1,4,1,0,0,0,0,"23    529.026882
Name: NU_NOTA_CN, dtype: float64","23    569.956701
Name: NU_NOTA_CH, dtype: float64","23    555.763918
Name: NU_NOTA_LC, dtype: float64","23    553.676344
Name: NU_NOTA_MT, dtype: float64","23    133.195876
Name: NU_NOTA_COMP1, dtype: float64","23    126.391753
Name: NU_NOTA_COMP2, dtype: float64","23    122.474227
Name: NU_NOTA_COMP3, dtype: float64","23    128.247423
Name: NU_NOTA_COMP4, dtype: float64","23    94.639175
Name: NU_NOTA_COMP5, dtype: float64","23    604.948454
Name: NU_NOTA_REDACAO, dtype: float64",B,B,B,F,7,E,A,B,D,B,B,B,A,B,A,B,A,B,B,A,A,C,B,B,B
160000434346,2016,Anápolis,GO,19,F,0.0,1,1,1,1,1,1,1,1,575.0,643.8,603.9,433.2,140.0,160.0,120.0,140.0,120.0,680.0,E,F,B,D,7,F,A,C,D,B,A,B,A,B,A,A,A,A,C,B,A,E,B,C,B
160000434347,2016,Uberaba,MG,21,F,0.0,3,1,3,1,0,0,0,0,"10    524.982679
Name: NU_NOTA_CN, dtype: float64","10    571.270862
Name: NU_NOTA_CH, dtype: float64","10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",C,C,B,B,5,G,A,B,C,A,B,B,A,B,A,B,A,A,B,A,A,D,B,B,B
160000434348,2016,Sete Lagoas,MG,30,F,0.0,2,1,10,1,1,1,1,1,577.5,636.6,609.8,555.3,140.0,140.0,140.0,140.0,160.0,720.0,B,E,B,F,3,C,A,B,C,A,A,B,B,A,A,A,A,A,C,A,A,D,B,B,B
160000434349,2016,Guaratuba,PR,23,F,0.0,3,4,0,1,0,0,0,0,"89    474.358333
Name: NU_NOTA_CN, dtype: float64","89    565.275
Name: NU_NOTA_CH, dtype: float64","89    548.581818
Name: NU_NOTA_LC, dtype: float64","89    471.154545
Name: NU_NOTA_MT, dtype: float64","89    110.909091
Name: NU_NOTA_COMP1, dtype: float64","89    98.181818
Name: NU_NOTA_COMP2, dtype: float64","89    100.0
Name: NU_NOTA_COMP3, dtype: float64","89    90.909091
Name: NU_NOTA_COMP4, dtype: float64","89    61.818182
Name: NU_NOTA_COMP5, dtype: float64","89    461.818182
Name: NU_NOTA_REDACAO, dtype: float64",D,E,F,B,5,D,A,D,D,B,B,B,A,B,A,A,A,B,D,B,A,D,A,A,A
160000434350,2016,Contagem,MG,21,F,0.0,3,1,4,1,1,1,1,1,420.9,543.2,597.6,380.3,100.0,120.0,100.0,80.0,80.0,480.0,H,E,F,C,3,B,A,B,B,A,A,B,B,A,A,B,A,A,B,B,A,D,B,B,A
160000434351,2016,Moju,PA,24,F,0.0,3,1,2,1,0,0,0,0,"13    481.926506
Name: NU_NOTA_CN, dtype: float64","13    521.681034
Name: NU_NOTA_CH, dtype: float64","13    510.336416
Name: NU_NOTA_LC, dtype: float64","13    494.899394
Name: NU_NOTA_MT, dtype: float64","13    122.080925
Name: NU_NOTA_COMP1, dtype: float64","13    116.069364
Name: NU_NOTA_COMP2, dtype: float64","13    112.138728
Name: NU_NOTA_COMP3, dtype: float64","13    120.0
Name: NU_NOTA_COMP4, dtype: float64","13    87.976879
Name: NU_NOTA_COMP5, dtype: float64","13    558.265896
Name: NU_NOTA_REDACAO, dtype: float64",B,B,A,A,3,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A
160000434352,2016,São Luís,MA,24,M,0.0,1,1,6,1,1,1,1,1,467.3,602.8,576.7,626.5,120.0,100.0,120.0,120.0,60.0,520.0,C,E,D,B,4,G,A,B,C,B,C,B,B,A,A,B,A,A,B,A,A,C,A,A,B
160000434353,2016,São Paulo,SP,17,F,0.0,1,2,0,3,1,1,1,1,485.9,589.2,419.4,386.7,120.0,120.0,140.0,120.0,60.0,560.0,G,F,F,F,4,N,D,D,D,C,A,B,B,A,A,B,A,B,D,B,B,E,B,C,B
170003336736,2017,Araraquara,SP,29,F,0.0,1,1,11,1,1,1,1,1,445.4,589.0,621.5,465.5,140.0,120.0,120.0,100.0,80.0,560.0,E,D,C,B,3,D,A,B,C,A,B,B,A,C,A,B,A,A,C,B,B,C,B,B,B
170003333545,2017,Cassilândia,MS,22,F,0.0,1,1,5,1,0,0,0,0,"11    519.692
Name: NU_NOTA_CN, dtype: float64","11    557.745283
Name: NU_NOTA_CH, dtype: float64","11    531.632692
Name: NU_NOTA_LC, dtype: float64","11    525.291837
Name: NU_NOTA_MT, dtype: float64","11    124.615385
Name: NU_NOTA_COMP1, dtype: float64","11    113.076923
Name: NU_NOTA_COMP2, dtype: float64","11    110.769231
Name: NU_NOTA_COMP3, dtype: float64","11    121.538462
Name: NU_NOTA_COMP4, dtype: float64","11    92.307692
Name: NU_NOTA_COMP5, dtype: float64","11    562.307692
Name: NU_NOTA_REDACAO, dtype: float64",C,E,B,B,4,C,A,B,D,B,B,B,A,A,A,B,A,A,B,A,A,C,B,A,A
170001663644,2017,São Paulo,SP,38,F,0.0,1,1,11,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",A,A,F,B,4,G,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,B,B
170001663645,2017,Lages,SC,35,F,0.0,1,1,6,1,1,1,1,1,604.0,610.4,563.9,591.2,140.0,120.0,140.0,100.0,80.0,580.0,E,D,B,B,4,D,A,B,D,B,A,B,A,B,A,B,A,B,C,A,B,D,A,B,B
170001663646,2017,Maceió,AL,40,M,0.0,3,1,11,1,1,1,1,1,482.1,569.2,570.8,584.6,140.0,120.0,120.0,120.0,80.0,580.0,A,B,B,F,3,C,A,B,B,A,B,B,A,A,A,A,A,A,B,B,A,C,A,C,B
170001663647,2017,Cachoeirinha,RS,20,F,0.0,1,1,2,1,1,1,1,1,558.8,594.9,522.8,578.5,120.0,120.0,120.0,120.0,60.0,540.0,F,F,B,B,3,J,A,B,C,B,A,B,B,B,A,B,A,B,D,B,A,D,A,C,B
170003334115,2017,Curitiba,PR,36,M,1.0,2,1,11,1,1,1,1,1,625.9,636.8,588.3,607.5,100.0,100.0,80.0,80.0,40.0,400.0,C,D,B,B,2,D,A,B,B,B,A,B,A,B,A,B,A,B,B,A,A,C,A,B,B
170003334116,2017,Rio do Sul,SC,18,F,0.0,1,1,1,1,0,0,0,0,"23    529.026882
Name: NU_NOTA_CN, dtype: float64","23    569.956701
Name: NU_NOTA_CH, dtype: float64","23    555.763918
Name: NU_NOTA_LC, dtype: float64","23    553.676344
Name: NU_NOTA_MT, dtype: float64","23    133.195876
Name: NU_NOTA_COMP1, dtype: float64","23    126.391753
Name: NU_NOTA_COMP2, dtype: float64","23    122.474227
Name: NU_NOTA_COMP3, dtype: float64","23    128.247423
Name: NU_NOTA_COMP4, dtype: float64","23    94.639175
Name: NU_NOTA_COMP5, dtype: float64","23    604.948454
Name: NU_NOTA_REDACAO, dtype: float64",F,G,F,D,4,C,B,B,C,B,A,B,B,B,A,B,A,B,B,A,B,D,B,B,B
170003334117,2017,Vacaria,RS,23,F,0.0,1,1,6,1,0,0,0,0,"22    509.39797
Name: NU_NOTA_CN, dtype: float64","22    559.591827
Name: NU_NOTA_CH, dtype: float64","22    548.331188
Name: NU_NOTA_LC, dtype: float64","22    550.566492
Name: NU_NOTA_MT, dtype: float64","22    127.128713
Name: NU_NOTA_COMP1, dtype: float64","22    120.891089
Name: NU_NOTA_COMP2, dtype: float64","22    114.851485
Name: NU_NOTA_COMP3, dtype: float64","22    120.29703
Name: NU_NOTA_COMP4, dtype: float64","22    85.841584
Name: NU_NOTA_COMP5, dtype: float64","22    569.009901
Name: NU_NOTA_REDACAO, dtype: float64",B,B,A,A,1,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,B,A,A,A
170001669940,2017,Jaboatão dos Guararapes,PE,23,M,0.0,3,1,3,1,1,1,1,1,533.8,427.6,320.7,479.0,80.0,100.0,80.0,60.0,0.0,320.0,A,E,A,A,3,B,B,B,C,A,A,B,A,B,A,B,A,A,B,B,A,D,B,B,B
170001669941,2017,Canoas,RS,22,F,0.0,1,1,4,1,0,0,0,0,"22    509.39797
Name: NU_NOTA_CN, dtype: float64","22    559.591827
Name: NU_NOTA_CH, dtype: float64","22    548.331188
Name: NU_NOTA_LC, dtype: float64","22    550.566492
Name: NU_NOTA_MT, dtype: float64","22    127.128713
Name: NU_NOTA_COMP1, dtype: float64","22    120.891089
Name: NU_NOTA_COMP2, dtype: float64","22    114.851485
Name: NU_NOTA_COMP3, dtype: float64","22    120.29703
Name: NU_NOTA_COMP4, dtype: float64","22    85.841584
Name: NU_NOTA_COMP5, dtype: float64","22    569.009901
Name: NU_NOTA_REDACAO, dtype: float64",E,B,D,B,4,F,A,B,D,B,A,B,A,B,A,B,A,A,B,B,A,D,A,B,A
170001668485,2017,Salvador,BA,26,F,0.0,0,1,7,1,1,1,1,1,613.2,616.7,623.1,656.5,140.0,120.0,120.0,120.0,60.0,560.0,G,F,D,B,6,J,A,D,D,B,B,B,B,B,B,B,A,A,D,A,B,E,B,E,B
