NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
160000405125.0,2016.0,Teófilo Otoni,MG,19.0,M,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,664.1,735.1,661.3,776.3,160.0,160.0,140.0,160.0,180.0,800.0,B,B,C,A,5.0,G,A,B,C,B,B,B,A,B,A,A,A,A,B,A,A,D,B,B,B,E,C2
160000405127.0,2016.0,Castanhal,PA,17.0,F,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,561.8,595.8,583.9,563.2,160.0,140.0,140.0,160.0,140.0,740.0,D,D,C,B,3.0,C,A,C,C,A,A,B,B,B,A,A,A,A,D,A,B,D,B,B,B,E,C1
160008492988.0,2016.0,União da Vitória,PR,21.0,F,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,545.1,609.6,615.8,642.0,140.0,100.0,100.0,120.0,100.0,560.0,D,B,C,B,3.0,C,A,B,D,B,B,B,B,B,A,A,A,B,B,B,A,D,B,C,B,E,B2
160000405132.0,2016.0,Fortaleza,CE,15.0,M,3.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,606.4,599.4,534.0,561.5,120.0,40.0,60.0,100.0,40.0,360.0,D,D,C,F,4.0,D,A,B,C,B,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,E,DE
160000405133.0,2016.0,Parnamirim,PE,24.0,M,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,578.3,594.2,623.2,765.9,160.0,100.0,100.0,120.0,100.0,580.0,B,B,A,A,4.0,B,A,B,C,A,A,B,A,A,A,A,A,A,C,B,A,C,A,A,A,E,DE
160000405135.0,2016.0,Jacareí,SP,45.0,F,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,426.9,533.9,542.9,396.4,120.0,100.0,100.0,80.0,40.0,440.0,D,D,C,C,3.0,E,A,C,C,A,A,B,A,B,A,B,A,A,B,B,A,C,A,B,A,E,C2
160000405137.0,2016.0,Moji Mirim,SP,19.0,M,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,582.9,621.7,589.3,568.6,140.0,160.0,160.0,140.0,120.0,720.0,H,E,F,B,4.0,D,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,E,B,C,B,E,B2
160000405138.0,2016.0,São Francisco,MG,19.0,M,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,404.5,607.5,553.1,492.3,120.0,120.0,140.0,120.0,80.0,580.0,B,B,C,B,9.0,B,A,C,D,B,A,C,A,A,A,A,A,A,B,B,A,E,A,B,B,E,C2
160000407937.0,2016.0,Pains,MG,19.0,F,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,665.8,640.0,612.5,714.8,160.0,200.0,200.0,200.0,180.0,940.0,E,F,C,D,4.0,G,A,B,D,A,A,B,B,B,A,B,A,A,B,B,A,E,A,C,B,E,B2
160000407939.0,2016.0,João Pessoa,PB,24.0,F,1.0,7.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,546.6,591.9,595.6,400.5,160.0,140.0,160.0,160.0,160.0,780.0,B,E,C,F,3.0,D,A,D,E,B,B,B,A,B,A,A,A,A,D,A,A,D,A,B,B,E,B2
